Character,Transcription,Fanqie,Sixtuple,Reference
瓴,leng,郎丁,梗開四平青來,939
𧕅,leng,郎丁,梗開四平青來,939
拎,leng,郎丁,梗開四平青來,939
刢,leng,郎丁,梗開四平青來,939
𧆺,leng,郎丁,梗開四平青來,939
𤣘,leng,郎丁,梗開四平青來,939
𤫲,leng,郎丁,梗開四平青來,939
玲,leng,郎丁,梗開四平青來,939
𦉢,leng,郎丁,梗開四平青來,939
𩖊,leng,郎丁,梗開四平青來,939
㾉,leng,郎丁,梗開四平青來,939
聆,leng,郎丁,梗開四平青來,939
竛,leng,郎丁,梗開四平青來,939
𠄖,leng,郎丁,梗開四平青來,939
蘦,leng,郎丁,梗開四平青來,939
軨,leng,郎丁,梗開四平青來,939
䡼,leng,郎丁,梗開四平青來,939
笭,leng,郎丁,梗開四平青來,939
笭,lengX,力鼎,梗開四上青來,1915
孁,leng,郎丁,梗開四平青來,939
𪕌,leng,郎丁,梗開四平青來,939
灵,leng,郎丁,梗開四平青來,939
𩟃,leng,郎丁,梗開四平青來,939
𩵀,leng,郎丁,梗開四平青來,939
龗,leng,郎丁,梗開四平青來,939
翎,leng,郎丁,梗開四平青來,939
閝,leng,郎丁,梗開四平青來,939
鹷,leng,郎丁,梗開四平青來,939
䴇,leng,郎丁,梗開四平青來,939
昤,leng,郎丁,梗開四平青來,939
駖,leng,郎丁,梗開四平青來,939
𧖜,leng,郎丁,梗開四平青來,939
𩆮,leng,郎丁,梗開四平青來,939
蕶,leng,郎丁,梗開四平青來,939
酃,leng,郎丁,梗開四平青來,939
詅,leng,郎丁,梗開四平青來,939
詅,ljengH,力政,梗開三去清來,2980
彾,leng,郎丁,梗開四平青來,939
䯍,leng,郎丁,梗開四平青來,939
呤,leng,郎丁,梗開四平青來,939
狑,leng,郎丁,梗開四平青來,939
𤣤,leng,郎丁,梗開四平青來,939
爧,leng,郎丁,梗開四平青來,939
冷,leng,郎丁,梗開四平青來,939
冷,laengX,魯打,梗開二上庚來,1872
冷,lengX,力鼎,梗開四上青來,1915
𠱠,leng,郎丁,梗開四平青來,939
𦫊,leng,郎丁,梗開四平青來,939
𢺰,leng,郎丁,梗開四平青來,939
𢺰,lengH,郎定,梗開四去青來,3002
澪,leng,郎丁,梗開四平青來,939
𥤞,leng,郎丁,梗開四平青來,939
秢,leng,郎丁,梗開四平青來,939
䕘,leng,郎丁,梗開四平青來,939
䕘,ljengX,良郢,梗開三上清來,1888
岭,leng,郎丁,梗開四平青來,939
𣬹,leng,郎丁,梗開四平青來,939
𩚹,leng,郎丁,梗開四平青來,939
紷,leng,郎丁,梗開四平青來,939
䉹,leng,郎丁,梗開四平青來,939
砱,leng,郎丁,梗開四平青來,939
阾,leng,郎丁,梗開四平青來,939
阾,ljengX,良郢,梗開三上清來,1888
羚,leng,郎丁,梗開四平青來,939
姈,leng,郎丁,梗開四平青來,939
㸳,leng,郎丁,梗開四平青來,939
欞,leng,郎丁,梗開四平青來,939
寧,neng,奴丁,梗開四平青泥,940
寍,neng,奴丁,梗開四平青泥,940
鸋,neng,奴丁,梗開四平青泥,940
鸋,nengH,乃定,梗開四去青泥,2992
䆨,neng,奴丁,梗開四平青泥,940
𧕝,neng,奴丁,梗開四平青泥,940
嚀,neng,奴丁,梗開四平青泥,940
聹,neng,奴丁,梗開四平青泥,940
聹,nengX,乃挺,梗開四上青泥,1907
汀,theng,他丁,梗開四平青透,941
汀,thengH,他定,梗開四去青透,2998
訂,theng,他丁,梗開四平青透,941
訂,dengX,徒鼎,梗開四上青定,1902
訂,tengH,丁定,梗開四去青端,2996
聽,theng,他丁,梗開四平青透,941
聽,thengH,他定,梗開四去青透,2998
廳,theng,他丁,梗開四平青透,941
町,theng,他丁,梗開四平青透,941
町,thenX,他典,山開四上先透,1603
町,dengX,徒鼎,梗開四上青定,1902
町,thengX,他鼎,梗開四上青透,1903
艼,theng,他丁,梗開四平青透,941
艼,thengX,他鼎,梗開四上青透,1903
𦉬,theng,他丁,梗開四平青透,941
𦉬,thengX,他鼎,梗開四上青透,1903
䩠,theng,他丁,梗開四平青透,941
鞓,theng,他丁,梗開四平青透,941
䋼,theng,他丁,梗開四平青透,941
𦀚,theng,他丁,梗開四平青透,941
庁,theng,他丁,梗開四平青透,941
冥,meng,莫經,梗開四平青明,942
榠,meng,莫經,梗開四平青明,942
銘,meng,莫經,梗開四平青明,942
鄍,meng,莫經,梗開四平青明,942
溟,meng,莫經,梗開四平青明,942
溟,mengX,莫迥,梗開四上青明,1900
䫤,meng,莫經,梗開四平青明,942
螟,meng,莫經,梗開四平青明,942
𧱴,meng,莫經,梗開四平青明,942
猽,meng,莫經,梗開四平青明,942
蓂,meng,莫經,梗開四平青明,942
蓂,mek,莫狄,梗開四入青明,3683
𥹆,meng,莫經,梗開四平青明,942
覭,meng,莫經,梗開四平青明,942
覭,mek,莫狄,梗開四入青明,3683
暝,meng,莫經,梗開四平青明,942
暝,mengH,莫定,梗開四去青明,3000
瓶,beng,薄經,梗開四平青並,943
缾,beng,薄經,梗開四平青並,943
蛢,beng,薄經,梗開四平青並,943
䶄,beng,薄經,梗開四平青並,943
荓,beng,薄經,梗開四平青並,943
䈂,beng,薄經,梗開四平青並,943
萍,beng,薄經,梗開四平青並,943
蓱,beng,薄經,梗開四平青並,943
郱,beng,薄經,梗開四平青並,943
畊,beng,薄經,梗開四平青並,943
洴,beng,薄經,梗開四平青並,943
熒,hweng,戸扃,梗合四平青匣,944
螢,hweng,戸扃,梗合四平青匣,944
滎,hweng,戸扃,梗合四平青匣,944
扃,kweng,古螢,梗合四平青見,945
駉,kweng,古螢,梗合四平青見,945
駫,kweng,古螢,梗合四平青見,945
坰,kweng,古螢,梗合四平青見,945
冋,kweng,古螢,梗合四平青見,945
冋,hwengX,戸頂,梗合四上青匣,1898
𪕍,kweng,古螢,梗合四平青見,945
絅,kweng,古螢,梗合四平青見,945
絅,khwengX,口迥,梗合四上青溪,1911
𣕄,kweng,古螢,梗合四平青見,945
蒸,tsying,煑仍,曾開三平蒸章,946
䒱,tsying,煑仍,曾開三平蒸章,946
烝,tsying,煑仍,曾開三平蒸章,946
烝,tsyingH,諸應,曾開三去蒸章,3003
𦚦,tsying,煑仍,曾開三平蒸章,946
䕄,tsying,煑仍,曾開三平蒸章,946
篜,tsying,煑仍,曾開三平蒸章,946
脀,tsying,煑仍,曾開三平蒸章,946
承,dzying,署陵,曾開三平蒸常,947
丞,dzying,署陵,曾開三平蒸常,947
丞,dzyingH,常證,曾開三去蒸常,3016
𨋬,dzying,署陵,曾開三平蒸常,947
𨋬,tsyingX,,曾開三上蒸章,1919
澂,dring,直陵,曾開三平蒸澄,948
懲,dring,直陵,曾開三平蒸澄,948
陵,ling,力膺,曾開三平蒸來,949
淩,ling,力膺,曾開三平蒸來,949
夌,ling,力膺,曾開三平蒸來,949
綾,ling,力膺,曾開三平蒸來,949
凌,ling,力膺,曾開三平蒸來,949
𠗲,ling,力膺,曾開三平蒸來,949
蔆,ling,力膺,曾開三平蒸來,949
菱,ling,力膺,曾開三平蒸來,949
䔖,ling,力膺,曾開三平蒸來,949
㥄,ling,力膺,曾開三平蒸來,949
鯪,ling,力膺,曾開三平蒸來,949
崚,ling,力膺,曾開三平蒸來,949
㱥,ling,力膺,曾開三平蒸來,949
㱥,longH,魯鄧,曾開一去登來,3027
𡕮,ling,力膺,曾開三平蒸來,949
𡕮,kik,紀力,曾開三入蒸見,3709
𩜁,ling,力膺,曾開三平蒸來,949
𩜁,xingH,黑甑,曾開三去蒸曉,3012
掕,ling,力膺,曾開三平蒸來,949
祾,ling,力膺,曾開三平蒸來,949
祾,long,魯登,曾開一平登來,970
𣣋,ling,力膺,曾開三平蒸來,949
膺,'ing,於陵,曾開三平蒸影,950
應,'ing,於陵,曾開三平蒸影,950
應,'ingH,於證,曾開三去蒸影,3007
鷹,'ing,於陵,曾開三平蒸影,950
𧕄,'ing,於陵,曾開三平蒸影,950
凭,bing,扶冰,曾開三平蒸並,951
凭,bingH,皮證,曾開三去蒸並,3013
憑,bing,扶冰,曾開三平蒸並,951
淜,bing,扶冰,曾開三平蒸並,951
㵗,bing,扶冰,曾開三平蒸並,951
冫,ping,筆陵,曾開三平蒸幫,952
仌,ping,筆陵,曾開三平蒸幫,952
冰,ping,筆陵,曾開三平蒸幫,952
掤,ping,筆陵,曾開三平蒸幫,952
蠅,ying,余陵,曾開三平蒸以,953
繩,zying,食陵,曾開三平蒸船,954
譝,zying,食陵,曾開三平蒸船,954
憴,zying,食陵,曾開三平蒸船,954
鱦,zying,食陵,曾開三平蒸船,954
鱦,maengX,莫幸,梗開二上庚明,1865
鱦,yingH,以證,曾開三去蒸以,3004
鱦,zyingH,實證,曾開三去蒸船,3005
乗,zying,食陵,曾開三平蒸船,954
乗,zyingH,實證,曾開三去蒸船,3005
乘,zying,食陵,曾開三平蒸船,954
乘,zyingH,實證,曾開三去蒸船,3005
椉,zying,食陵,曾開三平蒸船,954
𠅞,zying,食陵,曾開三平蒸船,954
澠,zying,食陵,曾開三平蒸船,954
澠,mjinX,武盡,臻開三上眞明,1482
溗,zying,食陵,曾開三平蒸船,954
塍,zying,食陵,曾開三平蒸船,954
塖,zying,食陵,曾開三平蒸船,954
騬,zying,食陵,曾開三平蒸船,954
升,sying,識蒸,曾開三平蒸書,955
昇,sying,識蒸,曾開三平蒸書,955
陞,sying,識蒸,曾開三平蒸書,955
勝,sying,識蒸,曾開三平蒸書,955
勝,syingH,詩證,曾開三去蒸書,3010
抍,sying,識蒸,曾開三平蒸書,955
抍,tsyingX,,曾開三上蒸章,1919
仍,nying,如乗,曾開三平蒸日,956
艿,nying,如乗,曾開三平蒸日,956
䚮,nying,如乗,曾開三平蒸日,956
㭁,nying,如乗,曾開三平蒸日,956
㭁,nyingH,而證,曾開三去蒸日,3006
辸,nying,如乗,曾開三平蒸日,956
礽,nying,如乗,曾開三平蒸日,956
扔,nying,如乗,曾開三平蒸日,956
扔,nyingH,而證,曾開三去蒸日,3006
兢,king,居陵,曾開三平蒸見,957
矜,king,居陵,曾開三平蒸見,957
徵,tring,陟陵,曾開三平蒸知,958
徵,triX,陟里,止開三上之知,1288
癥,tring,陟陵,曾開三平蒸知,958
症,tring,陟陵,曾開三平蒸知,958
𨟃,tring,陟陵,曾開三平蒸知,958
繒,dzing,疾陵,曾開三平蒸從,959
鄫,dzing,疾陵,曾開三平蒸從,959
驓,dzing,疾陵,曾開三平蒸從,959
橧,dzing,疾陵,曾開三平蒸從,959
橧,tsong,作滕,曾開一平登精,973
竲,dzing,疾陵,曾開三平蒸從,959
竲,tsong,作滕,曾開一平登精,973
嶒,dzing,疾陵,曾開三平蒸從,959
凝,nging,魚陵,曾開三平蒸疑,960
凝,ngingH,牛𩜁,曾開三去蒸疑,3015
興,xing,虚陵,曾開三平蒸曉,961
興,xingH,許應,曾開三去蒸曉,3009
𨞾,xing,虚陵,曾開三平蒸曉,961
稱,tsyhing,處陵,曾開三平蒸昌,962
稱,tsyhingH,昌孕,曾開三去蒸昌,3014
爯,tsyhing,處陵,曾開三平蒸昌,962
偁,tsyhing,處陵,曾開三平蒸昌,962
殑,ging,其矜,曾開三平蒸群,963
殑,gingX,其拯,曾開三上蒸群,1921
殑,gingH,其𩜁,曾開三去蒸群,3018
䔷,ging,其矜,曾開三平蒸群,963
䔷,gim,巨金,深開三平侵群,1061
㱡,sring,山矜,曾開三平蒸生,964
㱡,sringX,色庱,曾開三上蒸生,1922
硱,khing,綺兢,曾開三平蒸溪,965
硱,khwonX,苦本,臻合一上魂溪,1541
僜,trhing,丑升,曾開三平蒸徹,966
僜,dongH,徒亘,曾開一去登定,3023
庱,trhing,丑升,曾開三平蒸徹,966
庱,trhingX,丑拯,曾開三上蒸徹,1920
睖,trhing,丑升,曾開三平蒸徹,966
磳,dzring,仕兢,曾開三平蒸崇,967
磳,tsong,作滕,曾開一平登精,973
砯,phing,披冰,曾開三平蒸滂,968
登,tong,都滕,曾開一平登端,969
璒,tong,都滕,曾開一平登端,969
燈,tong,都滕,曾開一平登端,969
簦,tong,都滕,曾開一平登端,969
